material,thickness,particle_type,energy,heating_mean,heating_std,total_mean,total_std,flux_mean,flux_std,sensitivity_mean,sensitivity_std,total_prob_mean,total_prob_std
diamond,0.05,neutron,9200000.0,85.12749908279464,3.6506614120951304,5.9129154109362196e-05,2.9743988779781473e-07,0.0002519531664824843,1.2676601036200012e-06,9.252989030738549e-06,3.9681102305381854e-07,5.9129154109362196e-05,2.9743988779781473e-07
diamond,0.05,neutron,9300000.0,87.98960352219535,3.9587370925093177,5.742161660948119e-05,2.661198011191641e-07,0.00025067551446376484,1.1616002214531875e-06,9.46124769055864e-06,4.2567065510852876e-07,5.742161660948119e-05,2.661198011191641e-07
diamond,0.05,neutron,9400000.0,83.20992117122846,3.2990953002291197,5.5885847216460545e-05,2.559918929691851e-07,0.0002524522265219675,1.1574890351096582e-06,8.852119273534943e-06,3.5096758513075743e-07,5.5885847216460545e-05,2.559918929691851e-07
diamond,0.05,neutron,9500000.0,73.61144692275815,3.305877975008532,5.509719947193796e-05,2.5219167961385445e-07,0.0002538067846046349,1.1617963283105586e-06,7.748573360290331e-06,3.47987155264056e-07,5.509719947193796e-05,2.5219167961385445e-07
diamond,0.05,neutron,9600000.0,73.06837726823039,3.137819147991795,5.446914511034905e-05,2.547672690900993e-07,0.00025143879499473225,1.1762751008029016e-06,7.6112892987739994e-06,3.268561612491453e-07,5.446914511034905e-05,2.547672690900993e-07
diamond,0.05,neutron,9700000.0,72.88946382653094,2.9662105929020632,5.5067213439994086e-05,2.3141621429511038e-07,0.00025301928362477644,1.0637802244452773e-06,7.514377714075355e-06,3.057949064847488e-07,5.5067213439994086e-05,2.3141621429511038e-07
diamond,0.05,neutron,9800000.0,67.31091542423682,3.139607015011835,5.331008151783347e-05,2.4876294946082633e-07,0.000249994624181217,1.1680594174677641e-06,6.8684607575751864e-06,3.203680627563097e-07,5.331008151783347e-05,2.4876294946082633e-07
diamond,0.05,neutron,9900000.0,66.37029900811982,3.3895101607797185,5.225115394838882e-05,2.2741586765534756e-07,0.0002516937289421619,1.095251500565134e-06,6.704070606880789e-06,3.4237476371512306e-07,5.225115394838882e-05,2.2741586765534756e-07
diamond,0.05,neutron,10000000.0,69.12292218843051,3.205510073838938,5.1047551552111994e-05,2.401469056436641e-07,0.0002517200580773985,1.1855271882296762e-06,6.9122922188430504e-06,3.205510073838938e-07,5.1047551552111994e-05,2.401469056436641e-07
diamond,0.05,neutron,10100000.0,67.30358905214527,2.8209457978505164,4.9860692513811365e-05,2.411827040556432e-07,0.00025143632315771034,1.2159973011764536e-06,6.663721688331215e-06,2.7930156414361547e-07,4.9860692513811365e-05,2.411827040556432e-07
